duration1,duration2,temperature,humidity,speedlevel
594,567,26.4,58.6,9.7
570,561,26.4,58.6,9.7
577,561,26.4,58.9,9.7
576,567,26.4,58.9,9.7
600,590,26.4,58.7,9.7
594,567,26.4,58.7,9.7
567,567,26.4,58.6,9.7
570,560,26.4,58.6,9.7
600,561,26.4,58.4,9.7
600,567,26.4,58.4,9.7
573,567,26.4,58.5,9.7
593,564,26.4,58.5,9.7
571,561,26.3,59.6,9.7
567,561,26.3,59.6,9.7
573,560,26.4,58.7,9.7
576,560,26.4,58.7,9.7
574,567,26.4,58.5,9.7
594,567,26.4,58.5,9.7
567,561,26.4,58.7,9.7
593,558,26.4,58.7,9.7
600,560,26.5,58.6,9.7
573,584,26.5,58.6,9.7
600,561,26.4,58.6,9.7
567,567,26.4,58.6,9.7
570,567,26.4,58.5,9.7
593,561,26.4,58.5,9.7
594,561,26.4,58.6,9.7
593,561,26.4,58.6,9.7
600,585,26.3,59.4,9.7
576,560,26.3,59.4,9.7
574,584,26.4,58.3,9.7
567,567,26.4,58.3,9.7
571,566,26.5,58.5,9.7
570,566,26.5,58.5,9.7
594,560,26.4,58.5,9.7
570,560,26.4,58.5,9.7
576,558,26.4,58.6,9.7
600,565,26.4,58.6,9.7
600,567,26.4,58.6,9.7
570,567,26.4,58.6,9.7
594,567,26.4,58.5,9.7
594,560,26.4,58.5,9.7
594,561,26.4,58.5,9.7
574,561,26.4,58.5,9.7
600,561,26.4,58.5,9.7
576,567,26.4,58.5,9.7
568,567,26.4,58.6,9.7
570,591,26.4,58.6,9.7
594,585,26.4,58.5,9.7
570,561,26.4,58.5,9.7
594,560,26.4,58.3,9.7
576,561,26.4,58.3,9.7
574,567,26.4,58.7,9.7
593,567,26.4,58.7,9.7
594,567,26.5,58.4,9.7
570,561,26.5,58.4,9.7
594,560,26.4,58.6,9.7
574,561,26.4,58.6,9.7
600,561,26.5,58.6,9.7
576,561,26.5,58.6,9.7
573,567,26.4,58.5,9.7
570,567,26.4,58.5,9.7
594,567,26.5,58.3,9.7
570,560,26.5,58.3,9.7
568,560,26.4,58.6,9.7
572,561,26.4,58.6,9.7
574,558,26.5,58.6,9.7
576,584,26.5,58.6,9.7
600,567,26.4,58.6,9.7
594,567,26.4,58.6,9.7
567,566,26.5,58.4,9.7
593,560,26.5,58.4,9.7
