duration1,duration2,temperature,humidity,speedlevel
564,564,28.2,65.9,5.15
566,564,28.2,65.9,5.15
567,563,28.2,65.8,5.15
567,563,28.2,65.8,5.15
564,564,28.2,65.7,5.15
590,590,28.2,65.7,5.15
591,564,28.2,66.1,5.15
590,563,28.2,66.1,5.15
564,557,28.1,65.9,5.15
566,563,28.1,65.9,5.15
566,590,28.1,65.7,5.15
566,557,28.1,65.7,5.15
590,557,28.1,65.7,5.15
590,557,28.1,65.7,5.15
564,584,28.1,66,5.15
590,557,28.1,66,5.15
567,557,28.2,66,5.15
570,557,28.2,66,5.15
573,557,28.2,65.9,5.15
573,557,28.2,65.9,5.15
597,557,28.2,65.7,5.15
573,557,28.2,65.7,5.15
597,557,28.2,65.9,5.15
596,560,28.2,65.9,5.15
573,563,28.2,66,5.15
570,563,28.2,66,5.15
597,563,28.1,66.2,5.15
567,564,28.1,66.2,5.15
564,563,28.2,66,5.15
590,563,28.2,66,5.15
564,563,28.1,66,5.15
590,564,28.1,66,5.15
590,564,28.1,66,5.15
590,557,28.1,66,5.15
567,557,28.2,65.8,5.15
590,557,28.2,65.8,5.15
590,557,28.2,65.9,5.15
566,557,28.2,65.9,5.15
564,557,28.2,66.1,5.15
590,557,28.2,66.1,5.15
570,557,28.1,66,5.15
570,557,28.1,66,5.15
570,557,28.1,66.1,5.15
572,558,28.1,66.1,5.15
570,563,28.2,66.3,5.15
596,563,28.2,66.3,5.15
570,564,28.2,65.9,5.15
597,563,28.2,65.9,5.15
597,564,28.2,65.8,5.15
596,563,28.2,65.8,5.15
570,563,28.2,66,5.15
563,563,28.2,66,5.15
591,563,28.2,66,5.15
590,564,28.2,66,5.15
564,563,28.2,65.9,5.15
590,563,28.2,65.9,5.15
564,557,28.2,66,5.15
567,557,28.2,66,5.15
564,557,28.2,66,5.15
566,557,28.2,66,5.15
567,557,28.2,66,5.15
573,557,28.2,66,5.15
596,557,28.2,66.2,5.15
572,557,28.2,66.2,5.15
570,557,28.2,65.8,5.15
597,557,28.2,65.8,5.15
570,557,28.2,65.7,5.15
596,557,28.2,65.7,5.15
597,584,28.2,66,5.15
570,563,28.2,66,5.15
570,563,28.2,65.8,5.15
573,563,28.2,65.8,5.15
597,563,28.2,65.9,5.15
596,563,28.2,65.9,5.15
597,563,28.1,65.8,5.15
573,563,28.1,65.8,5.15
591,563,28.2,65.9,5.15
590,563,28.2,65.9,5.15
564,564,28.1,66.1,5.15
590,564,28.1,66.1,5.15
590,563,28.2,65.9,5.15
566,563,28.2,65.9,5.15
590,563,28.1,66.3,5.15
590,563,28.1,66.3,5.15
567,564,28.2,65.9,5.15
590,590,28.2,65.9,5.15
590,564,28.2,66.2,5.15
590,564,28.2,66.2,5.15
590,563,28.1,66.2,5.15
564,564,28.1,66.2,5.15
590,563,28.2,66.1,5.15
566,564,28.2,66.1,5.15
590,563,28.2,65.8,5.15
590,563,28.2,65.8,5.15
590,563,28.2,66.1,5.15
566,558,28.2,66.1,5.15
567,557,28.2,66.1,5.15
566,557,28.2,66.1,5.15
564,557,28.2,65.7,5.15
590,557,28.2,65.7,5.15
590,557,28.2,66.1,5.15
566,557,28.2,66.1,5.15
590,557,28.2,66.1,5.15
566,557,28.2,66.1,5.15
567,557,28.1,66.2,5.15
566,557,28.1,66.2,5.15
570,557,28.2,66,5.15
596,557,28.2,66,5.15
573,557,28.1,66,5.15
573,564,28.1,66,5.15
570,564,28.2,65.9,5.15
596,564,28.2,65.9,5.15
570,564,28.2,66.2,5.15
596,563,28.2,66.2,5.15
597,563,28.1,65.9,5.15
596,564,28.1,65.9,5.15
570,564,28.2,65.8,5.15
570,563,28.2,65.8,5.15
