duration1,duration2,temperature,humidity,speedlevel
567,591,26.8,60.3,8.25
567,584,26.8,60.3,8.25
570,558,26.7,60.2,8.25
573,561,26.7,60.2,8.25
576,561,26.7,60.3,8.25
573,567,26.7,60.3,8.25
573,566,26.7,60.3,8.25
567,590,26.7,60.3,8.25
594,567,26.7,60.1,8.25
567,564,26.7,60.1,8.25
567,561,26.8,60.4,8.25
567,558,26.8,60.4,8.25
594,557,26.8,60.4,8.25
573,585,26.8,60.4,8.25
574,584,26.8,60.2,8.25
573,567,26.8,60.2,8.25
567,566,26.9,60.3,8.25
593,567,26.9,60.3,8.25
567,567,26.7,60.1,8.25
569,567,26.7,60.1,8.25
567,584,26.8,60.3,8.25
567,558,26.8,60.3,8.25
567,561,26.8,60.1,8.25
573,561,26.8,60.1,8.25
574,561,26.8,60.3,8.25
573,566,26.8,60.3,8.25
574,567,26.8,60.5,8.25
593,567,26.8,60.5,8.25
567,567,26.8,60.2,8.25
567,567,26.8,60.2,8.25
567,567,26.8,60.6,8.25
567,560,26.8,60.6,8.25
567,560,26.8,59.9,8.25
567,557,26.8,59.9,8.25
567,561,26.8,60.3,8.25
573,560,26.8,60.3,8.25
573,560,26.8,60.6,8.25
573,560,26.8,60.6,8.25
573,567,26.8,60.3,8.25
600,591,26.8,60.3,8.25
574,567,26.8,60,8.25
567,590,26.8,60,8.25
593,564,26.8,60.1,8.25
567,560,26.8,60.1,8.25
567,558,26.8,60.1,8.25
573,561,26.8,60.1,8.25
573,561,26.9,59.8,8.25
573,584,26.9,59.8,8.25
573,584,26.8,60.3,8.25
573,567,26.8,60.3,8.25
597,567,26.8,59.9,8.25
567,567,26.8,59.9,8.25
591,591,26.7,60.1,8.25
567,567,26.7,60.1,8.25
567,567,26.8,60.3,8.25
591,567,26.8,60.3,8.25
591,567,26.8,60.1,8.25
567,560,26.8,60.1,8.25
591,560,26.8,60,8.25
573,560,26.8,60,8.25
574,561,26.8,60.2,8.25
573,567,26.8,60.2,8.25
573,567,26.8,60.4,8.25
567,567,26.8,60.4,8.25
567,567,26.8,60,8.25
567,567,26.8,60,8.25
